slug,nama,latitude,longitude
anyer,Anyer,-6.0532660,105.9227446
bali,Bali,-8.2271303,115.1919203
balikpapan,Balikpapan,-1.2398711,116.8593379
bandaaceh,Banda Aceh,5.5528455,95.3192908
bandung,bandung,-6.9218457,107.6070833
bangkalan,bangkalan,-7.0463602,112.8961792
banjarbaru,banjarbaru,-3.4430503,114.8308481
banjarmasin,banjarmasin,-3.3187496,114.5925828
banjarnegara,banjarnegara,-7.3558733,109.6600728
banyuwangi,banyuwangi,-8.3325711,114.1415790
batam,batam,1.1030815,104.0383696
bekasi,bekasi,-6.2349858,106.9945444
bengkulu,bengkulu,-4.0035183,101.8393474
blitar,blitar,-8.0982442,112.1650769
bogor,bogor,-6.5963564,106.7973188
bojonegoro,bojonegoro,-7.2278714,111.8146200
boyolali,boyolali,-7.3872118,110.7038691
brebes,brebes,-7.0520711,108.8881360
bsd,BSD City,-6.2746858,106.6579719
ciamis,ciamis,-7.3131593,108.4048938
cianjur,cianjur,-7.0539936,107.0692399
cibubur,Cibubur,-6.3551610,106.8807665
cilacap,cilacap,-7.4616710,108.8046146
cilegon,cilegon,-6.0173890,106.0537688
cirebon,cirebon,-6.7137044,108.5608483
deliserdang,Deli Serdang,3.4744538,98.7158975
demak,demak,-6.9230952,110.6276667
depok,depok,-6.4071900,106.8158371
garut,garut,-7.2162774,107.9014912
gorontalo,gorontalo,0.7186174,122.4555927
gresik,gresik,-5.7933465,112.6598223
indramayu,indramayu,-6.4418182,108.1764705
jakarta,jakarta,-6.1754049,106.8271680
jakartabarat,Jakarta Barat,-6.1615690,106.7438905
jambi,jambi,-1.7069965,102.7140041
jember,jember,-8.2633237,113.6278541
jepara,jepara,-6.5994983,110.7832207
jogja,Yogyakarta,-7.7953473,110.3672845
jombang,jombang,-7.5614640,112.2413044
karanganyar,karanganyar,-7.6196965,111.0698003
karawang,karawang,-6.3021906,107.3046116
kebumen,kebumen,-7.6439744,109.6077921
kediri,kediri,-7.8111057,112.0046051
kendal,kendal,-7.0190965,110.1374757
kendari,kendari,-3.9918068,122.5180066
klaten,klaten,-7.6732387,110.6284785
kudus,kudus,-6.7978494,110.8679109
kuningan,kuningan,-6.9869841,108.5538158
lamongan,lamongan,-7.1229318,112.3281935
lampung,lampung,-4.8555039,105.0272986
madiun,madiun,-7.6290837,111.5168819
magelang,magelang,-7.5136144,110.2145133
majalengka,majalengka,-6.8073627,108.2787860
makassar,makassar,-5.1342962,119.4124282
malang,malang,-7.9771308,112.6340265
manado,manado,1.4900447,124.8407673
mataram,mataram,-8.5837726,116.1068500
medan,medan,3.5894617,98.6741623
metroyogyakarta,Metro Yogyakarta,-7.7953473,110.3672845
mojokerto,mojokerto,-7.5413377,112.5094975
nganjuk,nganjuk,-7.6150161,111.9465075
ngawi,ngawi,-7.4636788,111.2981960
padang,padang,-0.9247587,100.3632561
palangkaraya,Palangka Raya,-2.2072919,113.9164372
palembang,palembang,-2.9888243,104.7568507
palu,palu,-0.9051548,119.8722373
pasuruan,pasuruan,-7.7508114,112.8184830
pati,pati,-6.7534144,111.0399982
pekalongan,pekalongan,-6.8905065,109.6761489
pekanbaru,pekanbaru,0.5262455,101.4515727
pemalang,pemalang,-7.0110802,109.3914037
pematangsiantar,Pematangsiantar,3.0015639,99.0832644
ponorogo,ponorogo,-7.9712266,111.4988929
prabumulih,prabumulih,-3.4382688,104.2310181
probolinggo,probolinggo,-7.7441461,113.2158401
purbalingga,purbalingga,-7.3273300,109.3998987
purwakarta,purwakarta,-6.5607313,107.4439799
purwodadi,purwodadi,-7.0811262,110.9172873
purwokerto,purwokerto,-7.4194647,109.2218425
purworejo,purworejo,-7.7073021,109.9665117
rangkasbitung,rangkasbitung,-6.3527788,106.2515252
salatiga,salatiga,-7.3302642,110.4995353
samarinda,samarinda,-0.5017804,117.1393089
semarang,semarang,-6.9903988,110.4229104
serang,serang,-6.1169662,106.1518079
singkawang,singkawang,0.9069861,108.9889657
sleman,sleman,-7.6894175,110.3812904
solo,Surakarta,-7.5692489,110.8284480
sragen,sragen,-7.3924563,110.9530232
subang,subang,-6.5689807,107.7587397
sukabumi,sukabumi,-7.0764508,106.7346608
sukoharjo,sukoharjo,-7.6814994,110.8700287
sumedang,sumedang,-6.8597179,107.9207066
surabaya,surabaya,-7.2462836,112.7377674
tangerang,tangerang,-6.1761924,106.6382161
tasikmalaya,tasikmalaya,-7.3262484,108.2201154
tebingtinggi,Tebing Tinggi,3.3273686,99.1623025
tegal,tegal,-6.8674488,109.1378271
temanggung,temanggung,-7.2397576,110.1216648
tuban,tuban,-6.9596385,111.8932266
tulungagung,tulungagung,-8.0729035,111.8996408
wonosobo,wonosobo,-7.3997999,109.9209645
yogyakarta,yogyakarta,-7.7953473,110.3672845
